nt_cluster,uniport_cluster
Cluster-110574.2_TRINITY_DN199271_c4_g1,Cluster-83719.0_TRINITY_DN211283_c5_g2
Cluster-97831.2_TRINITY_DN198234_c1_g3,Cluster-46444.0_TRINITY_DN211283_c4_g7
Cluster-84897.1_TRINITY_DN202462_c1_g1,Cluster-53036.1_TRINITY_DN208970_c1_g2
Cluster-107642.1_TRINITY_DN201356_c1_g2,Cluster-61668.3_TRINITY_DN198394_c0_g1
Cluster-97886.0_TRINITY_DN211013_c1_g4,Cluster-34380.1_TRINITY_DN208861_c2_g1
Cluster-86146.0_TRINITY_DN201465_c8_g1,Cluster-61668.2_TRINITY_DN198394_c0_g1
Cluster-110196.1_TRINITY_DN199208_c2_g2,Cluster-92584.0_TRINITY_DN199149_c0_g6
Cluster-110196.0_TRINITY_DN199208_c2_g2,Cluster-61668.0_TRINITY_DN198394_c0_g5
Cluster-106227.0_TRINITY_DN200216_c3_g2,Cluster-73760.0_TRINITY_DN196169_c0_g1
Cluster-107057.4_TRINITY_DN208754_c3_g1,Cluster-90932.1_TRINITY_DN210973_c2_g2
Cluster-90932.1_TRINITY_DN210973_c2_g2,Cluster-87919.0_TRINITY_DN198002_c0_g2
Cluster-90932.3_TRINITY_DN197639_c7_g1,Cluster-94582.0_TRINITY_DN206028_c0_g5
Cluster-88547.0_TRINITY_DN83837_c0_g1,Cluster-55729.3_TRINITY_DN211075_c2_g2
Cluster-5958.4_TRINITY_DN195122_c1_g1,Cluster-91336.0_TRINITY_DN204449_c2_g1
Cluster-66426.0_TRINITY_DN198321_c0_g1,Cluster-90625.1_TRINITY_DN210979_c0_g2
Cluster-18452.182_TRINITY_DN210059_c1_g4,Cluster-107254.0_TRINITY_DN208129_c5_g2
Cluster-84139.23_TRINITY_DN210880_c4_g1,Cluster-80020.1_TRINITY_DN206158_c2_g1
Cluster-52139.89_TRINITY_DN203649_c4_g7,Cluster-100987.0_TRINITY_DN200254_c2_g1
Cluster-34646.0_TRINITY_DN194897_c4_g1,Cluster-111178.2_TRINITY_DN200281_c0_g1
Cluster-55868.0_TRINITY_DN202661_c3_g2,Cluster-70840.0_TRINITY_DN209411_c1_g2
Cluster-58282.0_TRINITY_DN200702_c3_g2,Cluster-57121.1_TRINITY_DN193035_c1_g1
Cluster-104662.0_TRINITY_DN206844_c3_g2,Cluster-110626.4_TRINITY_DN210886_c2_g1
Cluster-113907.0_TRINITY_DN196776_c1_g1,Cluster-57121.5_TRINITY_DN208498_c2_g1
Cluster-69348.0_TRINITY_DN194695_c2_g1,Cluster-104411.1_TRINITY_DN204698_c0_g1
Cluster-99200.3_TRINITY_DN200387_c2_g2,Cluster-104411.0_TRINITY_DN204698_c0_g1
Cluster-99200.0_TRINITY_DN201958_c3_g1,Cluster-110626.3_TRINITY_DN210886_c2_g1
Cluster-96749.0_TRINITY_DN194532_c5_g2,Cluster-86057.0_TRINITY_DN206667_c0_g2
Cluster-63055.0_TRINITY_DN205201_c3_g5,Cluster-93827.0_TRINITY_DN208160_c0_g2
Cluster-87919.0_TRINITY_DN198002_c0_g2,Cluster-99543.0_TRINITY_DN201885_c1_g3
Cluster-91331.1_TRINITY_DN205451_c0_g1,Cluster-102020.0_TRINITY_DN208189_c4_g1
Cluster-91331.0_TRINITY_DN205451_c0_g1,Cluster-101176.0_TRINITY_DN204074_c0_g1
Cluster-27456.5_TRINITY_DN209563_c1_g2,Cluster-88369.1_TRINITY_DN207489_c0_g2
Cluster-10572.1_TRINITY_DN199878_c4_g1,Cluster-95899.24_TRINITY_DN200183_c5_g1
Cluster-87428.0_TRINITY_DN206000_c1_g7,Cluster-94652.1_TRINITY_DN210006_c1_g2
Cluster-15915.1_TRINITY_DN203835_c0_g3,Cluster-90195.0_TRINITY_DN208410_c1_g2
Cluster-96282.0_TRINITY_DN198827_c4_g1,Cluster-61893.6_TRINITY_DN193556_c1_g1
Cluster-61668.3_TRINITY_DN198394_c0_g1,Cluster-57319.0_TRINITY_DN204074_c0_g2
Cluster-34380.1_TRINITY_DN208861_c2_g1,Cluster-111420.0_TRINITY_DN204401_c0_g1
Cluster-18452.1_TRINITY_DN200463_c0_g4,Cluster-65270.0_TRINITY_DN203852_c4_g2
Cluster-29608.0_TRINITY_DN204996_c5_g5,Cluster-91036.1_TRINITY_DN196371_c10_g1
Cluster-59516.0_TRINITY_DN206881_c4_g5,Cluster-31086.0_TRINITY_DN196509_c0_g4
Cluster-95528.0_TRINITY_DN203979_c0_g1,Cluster-14128.1_TRINITY_DN202293_c5_g5
Cluster-103251.2_TRINITY_DN203165_c2_g3,Cluster-64289.0_TRINITY_DN199342_c0_g1
Cluster-79266.7_TRINITY_DN208200_c1_g1,Cluster-52139.60_TRINITY_DN205664_c4_g2
Cluster-79266.2_TRINITY_DN208200_c1_g1,Cluster-52139.185_TRINITY_DN200428_c6_g1
Cluster-79266.0_TRINITY_DN208200_c1_g1,Cluster-52139.160_TRINITY_DN193561_c4_g1
Cluster-75677.6_TRINITY_DN198241_c3_g1,Cluster-52139.2_TRINITY_DN193876_c5_g2
Cluster-96096.2_TRINITY_DN197550_c6_g2,Cluster-52139.215_TRINITY_DN193561_c4_g3
Cluster-52139.160_TRINITY_DN193561_c4_g1,Cluster-52139.89_TRINITY_DN203649_c4_g7
Cluster-52492.0_TRINITY_DN196180_c7_g2,Cluster-52139.59_TRINITY_DN198877_c0_g4
Cluster-93503.2_TRINITY_DN205415_c0_g1,Cluster-40837.0_TRINITY_DN199330_c5_g4
Cluster-93503.1_TRINITY_DN205415_c0_g1,Cluster-58282.0_TRINITY_DN200702_c3_g2
Cluster-55724.0_TRINITY_DN196009_c1_g1,Cluster-92263.0_TRINITY_DN210106_c6_g1
Cluster-113317.0_TRINITY_DN210490_c0_g2,Cluster-52139.226_TRINITY_DN200702_c3_g3
Cluster-79779.0_TRINITY_DN205640_c0_g1,Cluster-98239.0_TRINITY_DN203649_c4_g2
Cluster-94582.0_TRINITY_DN206028_c0_g5,Cluster-55102.0_TRINITY_DN201457_c7_g4
Cluster-69205.0_TRINITY_DN194605_c0_g2,Cluster-101664.0_TRINITY_DN196366_c6_g3
Cluster-98510.4_TRINITY_DN201482_c0_g2,Cluster-87970.0_TRINITY_DN203275_c1_g4
Cluster-79266.9_TRINITY_DN208200_c1_g1,Cluster-105106.0_TRINITY_DN205653_c0_g1
Cluster-79266.5_TRINITY_DN209294_c0_g7,Cluster-112360.0_TRINITY_DN208690_c2_g1
Cluster-97261.0_TRINITY_DN206125_c2_g2,Cluster-100085.0_TRINITY_DN203507_c0_g1
Cluster-106719.5_TRINITY_DN206278_c1_g2,Cluster-101793.0_TRINITY_DN210464_c1_g1
Cluster-104773.0_TRINITY_DN207587_c1_g1,Cluster-70840.1_TRINITY_DN209411_c1_g2
Cluster-55729.3_TRINITY_DN211075_c2_g2,Cluster-48754.0_TRINITY_DN193333_c0_g1
Cluster-102436.0_TRINITY_DN200670_c1_g2,Cluster-90932.3_TRINITY_DN197639_c7_g1
Cluster-106604.1_TRINITY_DN205353_c4_g1,Cluster-105566.0_TRINITY_DN205819_c0_g1
Cluster-33231.1_TRINITY_DN210431_c0_g1,Cluster-94824.0_TRINITY_DN208233_c2_g1
Cluster-7896.2_TRINITY_DN205946_c1_g1,Cluster-95528.0_TRINITY_DN203979_c0_g1
Cluster-113954.0_TRINITY_DN201901_c0_g1,Cluster-94115.0_TRINITY_DN198241_c0_g1
Cluster-112069.1_TRINITY_DN198861_c0_g1,Cluster-114587.7_TRINITY_DN206871_c2_g1
Cluster-111526.1_TRINITY_DN209361_c2_g1,Cluster-88139.0_TRINITY_DN190118_c0_g1
Cluster-101570.1_TRINITY_DN201638_c5_g4,Cluster-95449.2_TRINITY_DN205362_c0_g4
Cluster-86087.0_TRINITY_DN195590_c7_g5,Cluster-20170.1_TRINITY_DN207661_c0_g1
Cluster-94115.0_TRINITY_DN198241_c0_g1,Cluster-100251.0_TRINITY_DN195050_c3_g2
Cluster-93045.0_TRINITY_DN208780_c0_g1,Cluster-96637.0_TRINITY_DN194943_c6_g1
Cluster-72458.0_TRINITY_DN206437_c5_g1,Cluster-96282.0_TRINITY_DN198827_c4_g1
Cluster-94020.0_TRINITY_DN205177_c4_g1,Cluster-113369.0_TRINITY_DN207907_c3_g3
Cluster-100085.0_TRINITY_DN203507_c0_g1,Cluster-112273.4_TRINITY_DN199883_c0_g2
Cluster-91336.0_TRINITY_DN204449_c2_g1,Cluster-80947.0_TRINITY_DN199539_c2_g2
Cluster-92099.2_TRINITY_DN210620_c3_g1,Cluster-101459.27_TRINITY_DN210486_c3_g3
Cluster-87253.0_TRINITY_DN203977_c3_g2,Cluster-101459.2_TRINITY_DN208942_c2_g4
Cluster-90968.2_TRINITY_DN210195_c3_g3,Cluster-101459.13_TRINITY_DN210519_c5_g1
Cluster-96788.12_TRINITY_DN209424_c2_g1,Cluster-88026.0_TRINITY_DN172091_c0_g1
Cluster-111201.2_TRINITY_DN210130_c1_g1,Cluster-102483.1_TRINITY_DN200379_c0_g2
Cluster-53975.0_TRINITY_DN196043_c2_g3,Cluster-98234.0_TRINITY_DN204997_c0_g5
Cluster-90625.1_TRINITY_DN210979_c0_g2,Cluster-70184.0_TRINITY_DN200934_c3_g2
Cluster-101793.0_TRINITY_DN210464_c1_g1,Cluster-112539.0_TRINITY_DN210396_c7_g1
Cluster-84316.1_TRINITY_DN194727_c6_g4,Cluster-94867.0_TRINITY_DN207953_c1_g1
Cluster-79779.14_TRINITY_DN196203_c5_g1,Cluster-79377.1_TRINITY_DN207274_c1_g4
Cluster-106623.1_TRINITY_DN207069_c0_g1,Cluster-101043.1_TRINITY_DN193988_c2_g1
Cluster-89017.7_TRINITY_DN202715_c2_g1,Cluster-100909.2_TRINITY_DN199889_c1_g5
Cluster-109020.1_TRINITY_DN197721_c2_g5,Cluster-90692.0_TRINITY_DN173016_c0_g1
Cluster-60433.6_TRINITY_DN204595_c1_g3,Cluster-93738.0_TRINITY_DN199666_c1_g1
Cluster-102483.1_TRINITY_DN200379_c0_g2,Cluster-109712.2_TRINITY_DN196076_c1_g1
Cluster-114313.14_TRINITY_DN210333_c2_g2,Cluster-94402.0_TRINITY_DN203402_c1_g2
Cluster-56647.2_TRINITY_DN199678_c2_g2,Cluster-88799.0_TRINITY_DN188987_c0_g1
Cluster-83719.0_TRINITY_DN211283_c5_g2,Cluster-104773.0_TRINITY_DN207587_c1_g1
Cluster-55102.0_TRINITY_DN201457_c7_g4,Cluster-107057.4_TRINITY_DN208754_c3_g1
Cluster-54580.0_TRINITY_DN203291_c5_g3,Cluster-73116.0_TRINITY_DN193155_c1_g2
Cluster-101858.4_TRINITY_DN202797_c4_g4,Cluster-94416.0_TRINITY_DN206199_c2_g2
Cluster-88024.0_TRINITY_DN172516_c0_g1,Cluster-93324.8_TRINITY_DN211230_c1_g2
Cluster-114100.1_TRINITY_DN203792_c4_g1,Cluster-105799.0_TRINITY_DN197937_c3_g1
Cluster-79779.12_TRINITY_DN195689_c1_g3,Cluster-112061.0_TRINITY_DN199803_c2_g1
Cluster-98173.0_TRINITY_DN199735_c2_g3,Cluster-113345.0_TRINITY_DN201955_c3_g5
Cluster-112467.1_TRINITY_DN204745_c2_g2,Cluster-87428.0_TRINITY_DN206000_c1_g7
Cluster-106599.1_TRINITY_DN204189_c1_g3,Cluster-80386.1_TRINITY_DN195314_c3_g5
Cluster-106599.1_TRINITY_DN204189_c1_g2,Cluster-73519.0_TRINITY_DN197464_c3_g2
Cluster-112753.1_TRINITY_DN196921_c5_g1,Cluster-75122.0_TRINITY_DN202377_c8_g3
Cluster-114111.1_TRINITY_DN203608_c8_g2,Cluster-62042.5_TRINITY_DN198862_c2_g3
Cluster-45711.0_TRINITY_DN191372_c0_g1,Cluster-110945.0_TRINITY_DN197786_c3_g1
Cluster-88826.1_TRINITY_DN206069_c2_g3,Cluster-111341.0_TRINITY_DN204315_c0_g1
Cluster-110270.0_TRINITY_DN198062_c0_g1,Cluster-111341.1_TRINITY_DN204315_c0_g2
Cluster-109409.0_TRINITY_DN209489_c0_g3,Cluster-84509.0_TRINITY_DN189569_c0_g1
Cluster-101416.1_TRINITY_DN198743_c1_g2,Cluster-106961.0_TRINITY_DN210851_c3_g4
Cluster-80812.4_TRINITY_DN206273_c2_g1,Cluster-106599.1_TRINITY_DN204189_c1_g3
Cluster-93738.0_TRINITY_DN199666_c1_g1,Cluster-106987.0_TRINITY_DN197529_c1_g3
Cluster-80704.0_TRINITY_DN204907_c1_g4,Cluster-103684.0_TRINITY_DN205404_c0_g2
Cluster-112360.0_TRINITY_DN208690_c2_g1,Cluster-109288.0_TRINITY_DN198684_c1_g1
Cluster-98001.0_TRINITY_DN208556_c1_g3,Cluster-94010.1_TRINITY_DN202114_c0_g4
Cluster-104635.0_TRINITY_DN209773_c3_g1,Cluster-94010.0_TRINITY_DN202114_c0_g4
Cluster-99258.0_TRINITY_DN206866_c0_g2,Cluster-89128.0_TRINITY_DN207162_c1_g2
Cluster-77542.0_TRINITY_DN204024_c2_g1,Cluster-89462.0_TRINITY_DN205591_c0_g2
Cluster-90561.0_TRINITY_DN193197_c0_g1,Cluster-106599.1_TRINITY_DN204189_c1_g2
Cluster-18452.54_TRINITY_DN201072_c4_g2,Cluster-106599.0_TRINITY_DN204189_c1_g1
Cluster-112045.0_TRINITY_DN208449_c5_g1,Cluster-90561.0_TRINITY_DN193197_c0_g1
Cluster-72867.8_TRINITY_DN197216_c3_g1,Cluster-64365.2269_TRINITY_DN208192_c0_g2
Cluster-18452.25_TRINITY_DN198366_c4_g3,Cluster-102436.0_TRINITY_DN200670_c1_g2
Cluster-9496.60_TRINITY_DN197539_c3_g2,Cluster-85857.4_TRINITY_DN211038_c1_g1
Cluster-101858.2_TRINITY_DN211193_c3_g1,Cluster-92608.20_TRINITY_DN198559_c3_g2
Cluster-69239.2_TRINITY_DN210021_c0_g1,Cluster-109020.1_TRINITY_DN197721_c2_g5
Cluster-107254.0_TRINITY_DN208129_c5_g2,Cluster-51299.1_TRINITY_DN193698_c5_g1
Cluster-88183.0_TRINITY_DN211009_c0_g2,Cluster-72867.8_TRINITY_DN197216_c3_g1
Cluster-93076.0_TRINITY_DN203287_c0_g1,Cluster-108518.10_TRINITY_DN211195_c3_g2
Cluster-29914.8_TRINITY_DN198293_c1_g3,Cluster-101315.3_TRINITY_DN209527_c0_g3
Cluster-84434.0_TRINITY_DN194116_c4_g1,Cluster-97336.2_TRINITY_DN204323_c1_g1
Cluster-108377.2_TRINITY_DN205590_c2_g2,Cluster-101315.1_TRINITY_DN203535_c4_g1
Cluster-72058.0_TRINITY_DN194439_c0_g1,Cluster-94498.0_TRINITY_DN194074_c11_g1
Cluster-103251.5_TRINITY_DN211133_c0_g1,Cluster-87682.0_TRINITY_DN209077_c1_g3
Cluster-110546.5_TRINITY_DN207863_c3_g2,Cluster-113763.3_TRINITY_DN199578_c0_g1
Cluster-87096.0_TRINITY_DN197259_c2_g1,Cluster-111736.3_TRINITY_DN210652_c0_g1
Cluster-113081.2_TRINITY_DN209657_c0_g1,Cluster-5121.19_TRINITY_DN197222_c0_g1
Cluster-79266.14_TRINITY_DN201705_c2_g1,Cluster-23805.0_TRINITY_DN205738_c1_g1
Cluster-79266.12_TRINITY_DN208200_c1_g2,Cluster-108209.0_TRINITY_DN197222_c0_g2
Cluster-84856.1_TRINITY_DN207470_c2_g3,Cluster-5121.24_TRINITY_DN197882_c1_g2
Cluster-27162.2_TRINITY_DN208327_c1_g1,Cluster-5121.21_TRINITY_DN210443_c3_g1
Cluster-99238.0_TRINITY_DN196345_c0_g4,Cluster-106550.1_TRINITY_DN194639_c0_g1
Cluster-107436.1_TRINITY_DN204764_c2_g1,Cluster-84912.10_TRINITY_DN188147_c0_g1
Cluster-104520.18_TRINITY_DN198692_c3_g6,Cluster-72458.0_TRINITY_DN206437_c5_g1
Cluster-91754.10_TRINITY_DN211276_c3_g1,Cluster-106293.0_TRINITY_DN209297_c0_g1
Cluster-63536.0_TRINITY_DN191029_c5_g9,Cluster-88181.0_TRINITY_DN199365_c0_g1
Cluster-88229.5_TRINITY_DN207828_c5_g1,Cluster-61953.0_TRINITY_DN199574_c1_g3
Cluster-78811.3_TRINITY_DN193969_c5_g1,Cluster-49077.1_TRINITY_DN204084_c7_g1
Cluster-80020.1_TRINITY_DN206158_c2_g1,Cluster-109427.0_TRINITY_DN196485_c0_g1
Cluster-79266.10_TRINITY_DN208200_c1_g1,Cluster-97302.0_TRINITY_DN194445_c9_g2
Cluster-114030.7_TRINITY_DN203546_c0_g1,Cluster-66426.0_TRINITY_DN198321_c0_g1
Cluster-88364.0_TRINITY_DN201628_c2_g1,Cluster-69512.0_TRINITY_DN207161_c5_g1
Cluster-107413.0_TRINITY_DN202344_c1_g1,Cluster-103050.0_TRINITY_DN211012_c1_g1
Cluster-106293.0_TRINITY_DN209297_c0_g1,Cluster-106485.1_TRINITY_DN197242_c1_g4
Cluster-108823.0_TRINITY_DN208875_c0_g2,Cluster-106485.0_TRINITY_DN197242_c1_g4
Cluster-92354.8_TRINITY_DN203257_c2_g2,Cluster-95894.0_TRINITY_DN197032_c0_g3
Cluster-96096.1_TRINITY_DN206733_c3_g6,Cluster-38103.0_TRINITY_DN188933_c0_g1
Cluster-36009.0_TRINITY_DN204611_c2_g3,Cluster-96972.0_TRINITY_DN199543_c1_g1
Cluster-96596.0_TRINITY_DN198112_c0_g1,Cluster-62041.1_TRINITY_DN197563_c6_g2
Cluster-101385.10_TRINITY_DN210606_c3_g2,Cluster-61509.0_TRINITY_DN201210_c2_g6
Cluster-81952.0_TRINITY_DN199487_c3_g2,Cluster-91889.0_TRINITY_DN210414_c0_g1
Cluster-97302.0_TRINITY_DN194445_c9_g2,Cluster-105581.0_TRINITY_DN200160_c5_g2
Cluster-104839.0_TRINITY_DN199607_c1_g1,Cluster-88825.4_TRINITY_DN203980_c1_g3
Cluster-111233.0_TRINITY_DN208723_c2_g1,Cluster-88825.1_TRINITY_DN203980_c1_g5
Cluster-109712.2_TRINITY_DN196076_c1_g1,Cluster-93530.1_TRINITY_DN199555_c6_g1
Cluster-75559.1_TRINITY_DN205650_c6_g2,Cluster-64276.0_TRINITY_DN203061_c1_g2
Cluster-109393.0_TRINITY_DN204221_c0_g3,Cluster-69239.2_TRINITY_DN210021_c0_g1
Cluster-97526.0_TRINITY_DN198498_c1_g2,Cluster-110546.5_TRINITY_DN207863_c3_g2
Cluster-110900.0_TRINITY_DN205306_c2_g3,Cluster-110921.1_TRINITY_DN201258_c2_g1
Cluster-27162.4_TRINITY_DN208327_c1_g1,Cluster-96164.4_TRINITY_DN210349_c1_g1
Cluster-106599.2_TRINITY_DN204189_c1_g1,Cluster-101342.0_TRINITY_DN204523_c4_g4
Cluster-106599.0_TRINITY_DN204189_c1_g1,Cluster-90932.0_TRINITY_DN194691_c2_g3
Cluster-86834.0_TRINITY_DN205102_c0_g1,Cluster-111964.0_TRINITY_DN209977_c4_g4
Cluster-72374.10_TRINITY_DN199932_c2_g2,Cluster-103601.27_TRINITY_DN204921_c2_g1
